iter	Passed	Remaining
0	311	311365
1	501	250020
2	778	258762
3	1042	259637
4	1491	296727
5	1735	287571
6	2018	286329
7	2277	282439
8	2489	274074
9	2713	268641
10	2953	265559
11	3195	263133
12	3419	259583
13	3623	255231
14	3898	255989
15	4145	254969
16	4366	252503
17	4606	251284
18	4910	253538
19	5151	252434
20	5595	260864
21	5827	259080
22	6101	259200
23	6393	259992
24	6597	257313
25	6830	255890
26	7087	255406
27	7325	254284
28	7611	254844
29	7813	252627
30	8042	251402
31	8207	248279
32	8423	246825
33	8613	244724
34	8856	244190
35	9055	242499
36	9294	241895
37	9511	240784
38	9726	239679
39	9960	239050
40	10365	242447
41	10554	240732
42	10777	239851
43	11101	241207
44	11381	241546
45	11586	240287
46	11846	240199
47	12666	251221
48	13692	265751
49	14021	266403
50	14446	268819
51	14636	266835
52	14876	265813
53	15168	265729
54	15410	264776
55	15651	263841
56	15910	263222
57	16214	263340
58	16515	263412
59	16849	263971
60	17045	262386
61	17339	262329
62	17528	260705
63	17810	260471
64	17986	258734
65	18245	258207
66	18429	256640
67	18667	255858
68	18829	254063
69	19042	252993
70	19236	251699
71	19474	251001
72	19656	249606
73	19892	248922
74	20053	247320
75	20278	246545
76	20509	245847
77	20981	248009
78	21171	246818
79	21546	247783
80	21736	246615
81	21983	246109
82	22166	244901
83	22427	244562
84	22612	243414
85	22860	242958
86	23039	241782
87	23269	241160
88	23445	239989
89	23693	239562
90	23859	238328
91	24094	237804
92	24259	236593
93	24493	236070
94	24671	235032
95	24896	234440
96	25061	233302
97	25281	232697
98	25447	231594
99	25652	230870
100	25837	229977
101	26050	229342
102	26245	228565
103	26492	228242
104	26787	228333
105	26995	227674
106	27224	227213
107	27467	226863
108	27680	226267
109	27881	225589
110	28082	224916
111	28256	224033
112	28578	224324
113	28837	224121
114	29046	223533
115	29285	223173
116	29516	222762
117	29714	222104
118	29938	221643
119	30132	220971
120	30379	220691
121	30622	220381
122	30825	219788
123	31041	219289
124	31202	218417
125	31405	217843
126	31566	216987
127	31768	216422
128	31920	215527
129	32119	214953
130	32284	214159
131	32471	213527
132	32650	212838
133	32857	212344
134	33019	211568
135	33213	211004
136	33378	210262
137	33584	209782
138	33748	209047
139	33950	208555
140	34108	207797
141	34312	207325
142	34473	206598
143	34659	206034
144	34822	205331
145	35037	204945
146	35232	204446
147	35643	205188
148	35791	204417
149	35992	203957
150	36156	203292
151	36355	202826
152	36519	202172
153	36728	201768
154	36888	201100
155	37087	200651
156	37252	200026
157	37454	199598
158	37617	198969
159	37815	198533
160	37976	197904
161	38220	197706
162	38401	197192
163	38607	196805
164	38786	196284
165	39006	195970
166	39196	195513
167	39432	195282
168	39641	194921
169	39837	194501
170	40108	194445
171	40378	194377
172	40630	194230
173	40862	193980
174	41138	193936
175	41324	193475
176	41522	193066
177	41719	192659
178	41932	192326
179	42134	191945
180	42366	191701
181	42569	191330
182	42795	191058
183	43013	190755
184	43247	190521
185	43448	190146
186	43657	189804
187	43852	189404
188	44057	189052
189	44315	188922
190	44509	188525
191	44768	188401
